source,target,weight,RideID,DriverID,CustomerID,VehicleID,StartLocation,EndLocation,StartTime,EndTime,TripDistance,TripDuration,ZoneID,TimeSlot,Demand,Supply,BaseFare,DistanceFare,SurgeMultiplier,CurrentLocation,AvailabilityStatus,StartCoordinates,EndCoordinates,EndPoint,TimeCost,MonetaryCost,EstimatedTimeToDestination,CurrentTrafficConditions,ProbabilityValue,RandomSeed,TripSuccessRate,AverageWaitTime,Cost,TripDuration,TimeOfDay,WeatherCondition,DayOfWeek,TrafficCondition,PickupLocation,DropoffLocation,UserAgeGroup,HistoricalTripCount
0,12,6.243372246,78VG2M,VAPVMO,A0BJZQ,ES477Y,"42.478782, -137.439422","-61.291667, -80.120683",12/6/2023 21:59,12/6/2023 23:37,38.27,98,9,16,18,17,3.82,2.4,1.8,"-22.137587, 118.955946",Unavailable,"-70.56152362730222, -77.33811694819786","-70.98959037316014, 282.4338516404351",545,50.28,58.79,40.3,Moderate,-0.270697659,4811,0.95,11.26,1.83,65,Afternoon,Cloudy,Sunday,Heavy,25,63,56+,50
0,13,1.097849652,M5N8IM,V7RRVD,92GR8N,2DYC7B,"35.961145, -174.196017","-52.848115, -140.29011",12/6/2023 17:34,12/6/2023 18:21,39.46,47,9,14,26,1,4.45,1.36,1.8,"86.090416, -35.212248",Available,"-11.879030317865983, -132.03010300111544","-11.193816807363696, 227.4168798322034",670,83.24,127.27,80.38,Moderate,-1.728740702,4181,0.88,5.04,92.68,105,Morning,Sunny,Monday,Light,38,87,56+,17
0,14,1.232537625,8Z9QD6,WB9DHE,F8DKPF,X3567K,"-70.932464, 90.443501","13.563874, 132.47736",12/6/2023 17:45,12/6/2023 18:10,38.48,25,2,18,6,10,2.91,1.28,1,"53.699072, 139.811377",Unavailable,"1.1859202509640596, 71.59292875907803","0.3924079930992057, 72.1316165981319",234,16.35,16.96,19.08,Light,0.169611262,650,0.96,8.3,70.66,92,Evening,Rainy,Thursday,Heavy,25,20,18-25,45
0,15,3.79508942,0PA1UU,KPTQ5J,6MC60W,MJ6G0J,"83.842236, 77.899497","55.242211, -115.355609",12/6/2023 17:44,12/6/2023 18:28,46.97,44,2,7,40,10,4.4,1.22,2.2,"31.076009, 166.56121",Unavailable,"-10.683720950978255, 73.06467548679598","-11.068735988451541, 72.69167484362154",285,55.46,40.53,46.33,Moderate,1.520294792,822,0.83,11.52,41.37,78,Evening,Rainy,Thursday,Light,42,73,26-35,9
0,16,9.176191715,DXTD9G,RGKFMD,T8GM8O,ADO0M7,"-84.716557, -123.040471","-61.125258, -85.232494",12/6/2023 4:49,12/6/2023 6:12,29.3,83,4,16,49,6,2.92,1.25,1.4,"63.547497, 93.546435",Available,"-0.5299427488511128, 13.05532759994793","-0.30068975744948645, 12.525218718841678",937,38.75,56.07,32.88,Light,-0.151803288,7290,0.99,6.12,71.37,104,Morning,Rainy,Tuesday,Heavy,2,29,46-55,1
0,17,3.343827827,IF7N2K,XKTS1N,XMZL0C,JIM8O4,"33.770593, -101.305352","32.038462, -92.927161",12/6/2023 8:20,12/6/2023 9:55,29.18,95,4,18,30,28,2.97,1.79,1.1,"-60.87257, 27.508556",Available,"20.331168548983356, 173.61718373808708","19.996446362730488, 173.7552523662908",643,113.12,93.5,91.51,Moderate,0.64866746,6905,0.95,7.36,70.75,70,Night,Sunny,Monday,Moderate,48,8,36-45,23
0,18,3.692825632,O876BL,6BGYV4,0JX80I,C3J8O5,"-35.920326, -88.449085","73.813209, -128.514204",12/6/2023 4:06,12/6/2023 4:54,12.3,48,7,15,4,17,4.66,1.25,1.4,"-47.30104, 95.577666",Unavailable,"-4.96944023798828, -161.27758038214307","-4.675102637594164, 197.8905332168739",641,101.24,39.48,84.45,Light,-1.367389718,5546,0.8,14.74,27.32,21,Afternoon,Cloudy,Tuesday,Light,94,83,26-35,13
0,19,9.610144007,1XB172,40GGLW,9NO2T9,E04JPO,"-47.116652, -9.247167","43.564346, 104.349907",12/6/2023 4:01,12/6/2023 5:56,5,115,6,2,23,10,2.07,1.37,2.5,"-43.234746, -3.810342",Available,"-32.986210384572196, -53.917871040587045","-33.79044878541223, 306.59392277537523",640,94.14,42.49,105.23,Light,-0.194151304,6879,0.87,6.3,1.69,112,Afternoon,Cloudy,Friday,Light,81,24,56+,50
0,20,5.347936948,942C5M,QZ3IKH,85RK6R,WRHAAS,"55.838284, 92.277476","-87.994923, 75.541004",12/6/2023 1:00,12/6/2023 2:43,24.39,103,4,20,30,16,4.58,1.85,2,"-5.324446, 174.868363",Unavailable,"-85.24928144631117, -0.26963732051552824","-84.56418380019255, 0.6203156767703368",868,88.19,123.68,93.98,Heavy,-0.942112572,5571,0.98,5.65,96.6,79,Morning,Cloudy,Friday,Light,21,53,18-25,35
0,21,2.271092629,B5TS8Q,FVNNHP,OP95GX,BID2I9,"-28.986417, -43.629466","72.357389, -148.895365",12/6/2023 22:26,12/6/2023 23:38,16.71,72,9,7,44,0,3.72,1.44,1.5,"-37.940273, 23.590643",Unavailable,"24.541500689725027, 97.77699622642285","24.233886356701944, 97.01197661591483",161,116.25,31.02,111.62,Light,1.824757542,6999,0.89,11.29,35.02,94,Evening,Cloudy,Sunday,Heavy,96,6,36-45,46
0,22,8.6069199,PDU3P3,57MYKY,GRX2O5,G8FF0L,"-66.746364, 108.572636","49.971174, 159.8517",12/6/2023 5:39,12/6/2023 6:48,5,69,5,21,12,11,2.13,2.28,1,"-74.155871, 156.911492",Available,"75.64937922941482, -31.000517395332935","74.88198731223953, 328.36985058826565",218,111.54,16.07,90.69,Heavy,1.310868311,3427,0.94,13.3,80.69,102,Night,Sunny,Wednesday,Light,97,74,56+,40
0,23,4.716719734,23A8JR,Q9PFHF,AW2IVU,NOJDYN,"17.119344, -146.583134","-59.416325, -15.217587",12/6/2023 13:32,12/6/2023 14:30,9.49,58,6,23,15,28,2.76,2.45,1.5,"66.019724, -49.540375",Available,"-75.28373826791577, 113.24884644074183","-74.74544504458588, 113.66140762770085",655,21.33,72.66,19.76,Heavy,0.229186541,2270,0.85,7.42,10.31,87,Morning,Cloudy,Monday,Light,92,24,46-55,18
0,24,5.990276162,WOZTF3,O8AKO0,RVA4CR,VQXLKQ,"63.126096, -9.239587","-25.970701, -16.615282",12/6/2023 7:35,12/6/2023 8:26,28.33,51,9,3,33,29,2.71,1.3,2.4,"3.724589, 95.362528",Available,"10.001552004859136, 25.256785492641285","9.207869157432038, 25.48382363954752",902,22.57,86.86,19.5,Heavy,0.093918407,1248,0.89,11.58,64.51,51,Afternoon,Sunny,Sunday,Moderate,73,43,18-25,5
0,25,3.409324393,KYSSTI,09N570,KKU71Q,GB00JN,"86.102473, 153.244734","-83.454158, 127.98783",12/6/2023 18:38,12/6/2023 20:07,27.94,89,9,23,30,29,3.68,1.68,2.9,"48.72961, -57.489275",Available,"16.411542377683148, -123.98111440509311","17.380085429357038, 235.7009099727914",955,81.31,53.56,85.5,Heavy,-1.731400866,9813,0.83,8.13,4.7,73,Morning,Cloudy,Sunday,Moderate,26,90,26-35,44
0,26,4.79238369,A2ZVJH,3FJ8KE,45EQCG,69J8K6,"6.056791, -100.437463","-17.17191, 50.413947",12/6/2023 16:11,12/6/2023 17:17,29.21,66,2,18,5,11,2.39,1.54,1.5,"49.691791, 160.693977",Available,"-63.25218603485781, 159.87554768026536","-64.12635413195662, 159.86561006413467",695,10.25,51.08,8.42,Light,-1.13974594,6027,0.86,14.29,21.09,7,Morning,Sunny,Monday,Heavy,86,84,26-35,34
0,27,2.433036735,94VWCV,UJ23J4,I0E2NO,GZBB3A,"-59.396051, -148.676937","19.233285, -118.170974",12/6/2023 15:31,12/6/2023 16:42,6.67,71,4,16,47,23,2.14,1.03,2.4,"87.909207, 99.963765",Available,"1.3134973958431573, 32.22625933735077","0.9028042732417385, 31.45432150254292",292,114.17,13.23,111.63,Moderate,-1.17545746,5035,0.97,13.66,22.34,93,Afternoon,Sunny,Wednesday,Moderate,64,42,36-45,44
0,28,9.705137649,89RSJS,1UG64T,AGWD1P,H7P6CH,"-48.22729, -62.953331","89.907308, -137.111222",12/6/2023 7:15,12/6/2023 9:14,2.44,119,5,1,9,0,2.11,2.38,2.8,"48.073959, -109.990709",Unavailable,"69.28441934375499, -29.201871494694103","68.97793594449817, 331.35213736389295",597,98.97,96.03,79.59,Moderate,-0.761675076,9138,0.81,10.62,73.88,8,Afternoon,Rainy,Wednesday,Heavy,9,78,56+,10
0,29,3.67328176,TTRXAX,H43F5S,JWC950,1FVRU8,"24.115297, 81.313729","-1.641993, -134.172616",12/6/2023 10:16,12/6/2023 10:51,12.58,35,5,0,27,16,2.78,2.26,1.1,"51.477311, 175.580936",Available,"82.69943054082731, -56.666926356433535","83.1109794866924, 304.2865030258886",702,34.29,97.43,27.91,Light,1.723618952,7546,0.98,7.56,39.59,51,Morning,Sunny,Wednesday,Moderate,67,89,56+,43
0,30,2.735745246,XLH4AK,C165E9,I9MS8O,XYXPSM,"-77.992316, 90.363209","57.769375, 71.877494",12/6/2023 18:00,12/6/2023 18:33,25.87,33,2,18,22,0,4.59,1.97,2,"-18.941041, 36.934969",Unavailable,"-32.58407987132499, 58.245211289892694","-33.38932891198472, 57.47912949695215",26,48.47,145.01,52.21,Moderate,-0.819535034,7363,0.92,8.19,53.45,105,Morning,Sunny,Friday,Heavy,84,65,56+,43
0,31,4.094056267,1383LB,AOK8JV,P4HE80,XQ87V6,"1.718703, -88.253741","2.946683, -91.888636",12/6/2023 20:59,12/6/2023 21:44,1.12,45,6,10,30,13,4.11,2.02,2.4,"11.299894, 107.925287",Available,"20.093003295101028, -135.05622455298405","20.795302678697716, 225.36851105484135",58,91.75,24.69,83.29,Moderate,0.498236749,6262,0.9,13.96,63.54,78,Afternoon,Sunny,Wednesday,Moderate,77,79,46-55,50
0,32,8.352086942,7MF7Y7,4ZI2PG,RTT12P,ZOD7CK,"-38.701011, -168.233063","20.918963, -43.581029",12/6/2023 11:40,12/6/2023 11:57,14.19,17,7,7,1,2,4.32,1.32,1.9,"76.190136, -125.08239",Unavailable,"-84.77523849060485, -109.54739916632136","-84.66240798328406, 251.40703873568162",455,21.59,125.13,19.18,Light,0.250797783,5729,0.82,7.36,99.57,62,Afternoon,Sunny,Monday,Light,58,80,36-45,1
0,33,4.657865603,S2Q1I0,4WQG64,J4V0N1,1SX0G1,"-76.90285, -71.940459","-34.948424, -17.156443",12/6/2023 15:44,12/6/2023 16:34,28.69,50,3,5,13,25,2.03,1.95,1.5,"73.445591, -68.235912",Unavailable,"-58.00904173664115, -163.55715143923427","-57.08575753050904, 195.97011383793122",375,92.19,121.33,108.2,Light,2.10319848,910,0.85,11.35,91.73,56,Night,Cloudy,Sunday,Moderate,55,42,56+,1
0,34,6.947641711,WOD5YB,PNP52C,YT4RAE,J3PYC9,"-50.266076, 99.115896","68.707388, -171.812617",12/6/2023 16:41,12/6/2023 18:35,6.89,114,9,23,8,3,4.24,1.55,1.9,"25.625791, -123.732137",Unavailable,"-30.54620731698887, -75.30927750255641","-30.216213926672506, 285.02660159217413",646,16.34,89.64,15.24,Moderate,-1.467750685,8623,0.97,10.25,60.56,73,Afternoon,Rainy,Thursday,Heavy,71,90,26-35,48
0,35,8.225540506,S6XM30,I96ABR,21Z86O,EAAOUX,"-17.961624, 51.626534","-74.711301, -8.549855",12/6/2023 3:02,12/6/2023 3:12,38.36,10,9,6,48,13,3.85,1.38,1.3,"-11.747813, -166.644229",Available,"38.11738973954024, 161.15861628859267","37.6561628477033, 161.08954234170798",47,22.76,50.39,20.02,Heavy,0.044050194,3909,0.96,5.59,99.42,101,Evening,Cloudy,Saturday,Moderate,42,35,36-45,22
0,36,7.898653839,5YY17C,A15RV0,3UVMTE,APNRW0,"-67.845244, 101.594147","46.162943, 137.400851",12/6/2023 20:54,12/6/2023 21:12,32.72,18,10,23,20,8,4.62,2,1.3,"-70.998507, -98.053922",Unavailable,"65.71331442327914, 132.9071567650406","65.01486744099063, 133.85440825230864",469,107.35,69.69,128.48,Heavy,-0.442770337,6449,1,6.62,24.92,16,Morning,Rainy,Tuesday,Light,52,100,36-45,0
0,37,4.297164937,RLOND5,84SZH1,IF6A0T,F77PBI,"-37.82503, -122.187596","-14.334744, -76.33934",12/6/2023 1:37,12/6/2023 2:27,13.11,50,4,12,17,26,2.49,2.36,2.6,"-36.083724, -108.038215",Available,"-79.13234012356422, -149.57108093614312","-79.07621700874392, 209.91120765397832",435,88.45,86.31,71.25,Moderate,0.522074776,2329,0.95,12.62,98.91,81,Night,Cloudy,Wednesday,Moderate,72,91,36-45,24
0,38,4.788766076,771IHQ,972V94,T9JV5W,CKKYWR,"-89.192559, 39.995241","79.71357, 176.519686",12/6/2023 4:08,12/6/2023 5:16,19.81,68,1,15,24,22,3.45,1.31,1.8,"-49.677982, 117.284363",Available,"65.17548178337901, 9.293558529194826","64.89638870559612, 8.988495025938992",110,45.06,45.24,46.12,Heavy,0.17621417,7550,0.84,10.25,98.27,84,Morning,Sunny,Tuesday,Moderate,18,85,18-25,2
0,39,6.721346122,6VCW26,HJ5JQ9,KJ8HIR,NL59L5,"8.718492, -62.396692","-76.908734, -58.845945",12/6/2023 23:01,12/6/2023 23:55,39.16,54,6,23,28,18,3.75,1.22,2.3,"82.907834, -116.252975",Available,"-40.1922116245308, -56.52616792717134","-40.40573718003628, 302.72164188158405",223,62.13,38.74,74.19,Light,0.016128247,7536,0.89,6.84,79.71,74,Afternoon,Sunny,Tuesday,Light,66,6,18-25,22
0,40,9.770932201,GSS8FN,091PZR,QC28GN,NA1F8E,"25.476384, 22.152407","-86.229176, 101.203267",12/6/2023 8:59,12/6/2023 9:28,41.5,29,9,11,41,28,2.56,1.81,2.4,"-87.161015, -83.630101",Unavailable,"81.57993662402893, -6.121096698720038","80.92169713392741, 353.934201665519",567,50.16,53.02,45.46,Moderate,-1.825615794,5505,0.97,9.91,75.47,33,Afternoon,Rainy,Saturday,Heavy,6,23,36-45,18
0,41,3.873662729,DVJBO6,NGQBEH,GWOB60,917FRS,"-20.080328, 111.718057","5.029965, 36.291802",12/6/2023 5:51,12/6/2023 7:36,1.48,105,1,17,30,30,4.26,1.29,1.7,"-9.013319, -103.554285",Unavailable,"60.2863700243156, -107.48095147707518","60.20043588772403, 252.514350766691",107,33.82,55.2,27.31,Heavy,-0.15537895,8068,0.82,10.88,85.71,107,Evening,Sunny,Tuesday,Heavy,92,36,18-25,30
0,42,3.618890567,KT5D36,EL0JBK,LUBXA2,2VR7W8,"-77.337316, -161.614518","82.425981, -45.735586",12/6/2023 16:18,12/6/2023 17:00,37.46,42,6,2,33,7,2.04,2.47,1,"89.518861, 107.976285",Available,"22.060585931787145, -5.163345936499866","22.116615282855815, 354.29056395026385",96,54.87,86.02,44.69,Heavy,0.219269776,7839,0.85,14.59,54.96,43,Evening,Cloudy,Sunday,Moderate,86,50,18-25,26
0,43,7.336023622,MHBDIA,T0OBF3,RO3RT8,1F9RA8,"60.874484, 19.939043","81.010832, 73.737695",12/6/2023 7:26,12/6/2023 8:23,26.74,57,9,19,0,27,3.08,1.68,2.1,"51.454574, 131.28287",Available,"-11.283468676679604, 121.38585114515195","-11.106904503506437, 121.17084388644685",602,80.78,45.72,78.5,Light,-0.80223998,9643,0.84,13.6,18.4,96,Evening,Cloudy,Thursday,Heavy,40,99,36-45,14
0,44,7.313354629,1CWCB8,PL1ZN8,SLOL9A,3SOECS,"61.096427, 100.217238","-20.592937, -169.284275",12/6/2023 20:51,12/6/2023 22:45,21.6,114,9,18,18,15,3.49,1.64,2.3,"76.129991, -10.929773",Unavailable,"-0.966605954423585, 30.152202231206758","-1.3641255955320266, 30.990167259576804",475,28.25,22.06,31.85,Light,0.547249585,5766,0.86,8.72,49.46,108,Afternoon,Rainy,Wednesday,Heavy,89,96,56+,49
0,45,5.094089181,MQKPB3,GV2Y0M,C4N137,3AD1NX,"21.446515, 172.258438","-42.518095, -138.36255",12/6/2023 18:10,12/6/2023 18:48,47.23,38,5,20,20,20,2.72,2.41,2,"40.212199, 156.566067",Available,"5.935940135213514, -115.95493415800975","4.983017896084376, 244.60597196006995",312,111.83,90.17,129.26,Heavy,-0.236397035,3256,0.91,9.94,41.05,80,Morning,Sunny,Thursday,Light,64,1,18-25,4
0,46,1.415914231,17OMEO,AZ2367,77YDO0,KLS6TW,"-63.705399, -85.801499","-15.496715, -108.209034",12/6/2023 7:10,12/6/2023 7:47,5.29,37,3,14,39,18,4.39,1.5,2.4,"20.478296, 3.5753",Available,"17.523460078341557, 62.04541756055633","16.976900548403684, 61.261544879680756",894,105.82,54.08,114.76,Heavy,0.945384517,6571,0.87,14.49,35.95,65,Evening,Cloudy,Thursday,Moderate,7,100,46-55,37
0,47,8.866314423,SLF9X3,Z2FDFZ,0NVFPN,DC63KR,"-19.208836, -171.436177","11.791599, 111.759387",12/6/2023 10:40,12/6/2023 11:31,2.79,51,10,11,46,29,2.66,1.82,1.1,"-3.504386, 96.634452",Available,"-62.47339112368204, 14.651180110044947","-63.10788571907904, 14.363478945846873",556,96.35,81.54,105.67,Heavy,0.451971906,7959,0.95,5.35,24.63,109,Evening,Cloudy,Thursday,Moderate,51,62,56+,9
0,48,7.638503526,3D64AO,2J8CQT,6NUKRU,CXC4SQ,"49.640614, 61.228498","-37.120091, -66.530534",12/6/2023 12:08,12/6/2023 14:01,43.83,113,5,4,36,18,4.39,2.21,2.9,"81.026525, 119.257477",Available,"-39.874979367975946, 129.11358989488656","-40.22356302555764, 128.97502946397827",763,115.36,64.93,112.76,Heavy,-0.772475004,1451,0.88,12.82,23.99,111,Morning,Cloudy,Sunday,Moderate,85,27,46-55,23
0,49,7.521948085,LZNFFO,QEWWQC,7GPSUS,WUESHD,"67.217142, -151.474155","-2.656933, 38.581826",12/6/2023 10:17,12/6/2023 11:09,15.76,52,5,10,11,1,4.46,1.92,2.8,"62.292525, 21.600117",Unavailable,"-51.00398980774145, 2.276732815057187","-50.95050761407204, 1.3031272724278504",701,75.55,131.62,85.11,Light,-1.485011727,4589,0.96,12.58,77.13,17,Evening,Sunny,Wednesday,Moderate,67,62,36-45,21
0,50,1.541831525,IHK07A,XJSE4Z,ECQPMO,58RPDZ,"-70.153053, 24.229596","61.44446, -38.043658",12/6/2023 1:18,12/6/2023 1:42,8.69,24,3,2,18,3,4.4,1.12,1.9,"80.555966, 81.061649",Available,"-73.31915235038679, 149.2989789918321","-73.47126882703733, 148.48397908086065",399,48.4,64.99,47.19,Light,1.113304258,6444,0.82,14.58,55.42,100,Night,Rainy,Wednesday,Light,60,7,26-35,7
0,51,7.022662289,99IH3Z,VK1DUF,DENF64,LM07IJ,"-1.021735, 129.34398","79.244977, -16.924436",12/6/2023 22:03,12/6/2023 23:19,10.09,76,5,6,30,10,3.76,1.44,2.7,"23.494179, 6.789435",Unavailable,"19.82982632216151, 113.00342666411683","20.23550839873875, 112.51472424104632",276,119.15,30.03,112.76,Light,-0.970156378,40,0.9,9.09,36.6,90,Night,Sunny,Wednesday,Heavy,77,13,46-55,6
0,52,2.25574943,Q8ZF9U,3LZZI0,GXQQXX,ND5AWM,"72.438629, 114.567766","21.047585, -154.289918",12/6/2023 14:30,12/6/2023 15:42,21.86,72,3,2,33,27,4.09,1.93,2.3,"31.435669, 170.469917",Unavailable,"-61.42011769524777, 126.38084917188502","-61.28046733544794, 126.90121179881326",327,35.24,92.72,35.29,Heavy,-1.1974428,8760,0.86,12.4,33.57,14,Morning,Cloudy,Thursday,Moderate,74,93,36-45,16
0,53,2.847027889,C6RNXZ,UIYLWM,BVLUDJ,LF5MBT,"38.25929, 167.036451","26.494797, 109.833556",12/6/2023 4:50,12/6/2023 6:15,45.24,85,1,2,17,7,4.68,2.25,2,"14.583733, 117.652533",Unavailable,"84.62257965088628, 162.4982955151782","83.82403536539083, 162.72929694098772",752,109.73,1.25,127.27,Moderate,0.87908926,7561,0.93,12.32,55.78,88,Evening,Rainy,Sunday,Moderate,78,76,56+,4
0,54,5.236303195,PCGFXP,YQ2B3Z,AUV59N,70RGY6,"-52.728971, 139.773313","55.051144, 103.552188",12/6/2023 18:49,12/6/2023 19:39,4.01,50,6,7,33,23,2.05,2.2,2.8,"-39.058505, 118.459107",Unavailable,"-76.43274871150805, 111.8170227365975","-75.77300010836039, 112.11029885792092",2,58.73,117.27,47.7,Light,-0.375983854,2543,0.93,7.55,18.26,29,Night,Rainy,Tuesday,Light,19,29,18-25,42
0,55,4.127245385,QN7MRS,6P94HM,F3QXK8,TA5QQS,"78.397801, 150.143289","15.949887, 127.699445",12/6/2023 0:47,12/6/2023 1:52,28.37,65,6,15,16,18,3.64,1.83,2.9,"83.860449, -85.347724",Available,"-89.21463524876474, 65.76151700464598","-89.51883722806838, 65.89540414833482",36,40.81,111.02,43.88,Moderate,-2.28435122,3213,0.85,14.65,59.51,108,Night,Rainy,Thursday,Heavy,25,4,26-35,26
0,56,3.779712679,14R38X,PCQB16,OSSKDZ,97H3E0,"29.011298, 92.01714","15.468627, -157.239476",12/6/2023 7:10,12/6/2023 7:52,9.3,42,4,21,24,28,3.43,2.3,2.3,"38.71847, -18.853498",Available,"-2.5668259237760083, 14.65902446902632","-1.7185473020402209, 15.502453461268564",379,77.68,24.59,64.17,Heavy,0.954737102,4555,0.89,5.63,75.71,112,Afternoon,Rainy,Tuesday,Light,45,28,56+,44
0,57,3.142126023,ATEPTG,7O2QEV,0BPGCA,VJ2KNR,"-74.688352, -146.805495","8.616115, 146.127743",12/6/2023 1:28,12/6/2023 3:17,2.04,109,5,5,36,12,2.78,1.41,2.7,"-37.911101, 63.942838",Available,"30.93901055570913, -120.79670326153592","30.757444185040686, 238.71177807733847",66,29.84,10.3,33.85,Light,0.413389234,9426,0.94,6.21,87.27,58,Night,Cloudy,Saturday,Moderate,92,36,36-45,37
